index	mortality	x	y	20150210 17:14:35.816	20150210 18:14:42.242	20150210 19:14:42.560	20150210 20:14:42.580	20150210 21:14:42.186	20150210 22:14:42.664	20150210 23:14:39.759	20150211 00:14:43.218	20150211 01:14:42.783	20150211 02:14:43.29	20150211 03:14:43.218	20150211 04:14:43.123	20150211 05:14:43.597	20150211 06:14:43.234	20150211 07:14:43.250	20150211 08:14:43.636	20150211 09:14:43.604	20150211 10:14:43.533	20150211 11:14:43.343	20150211 12:14:41.99	20150211 13:14:43.736	20150211 14:14:41.668	20150211 15:14:41.793	20150211 16:14:41.693	20150211 17:14:41.844	20150211 18:14:44.273	20150211 19:14:44.347	20150211 20:14:43.801	20150211 21:14:44.457	20150211 22:14:44.249	20150211 23:14:46.234	20150212 00:14:44.704	20150212 01:14:44.349	20150212 02:14:44.561	20150212 03:14:46.372	20150212 04:14:45.12	20150212 05:14:44.895	20150212 06:14:45.41	20150212 07:14:44.837	20150212 08:14:45.115	20150212 09:14:45.204	20150212 10:14:45.225	20150212 11:14:45.629	20150212 12:14:45.196	20150212 13:14:45.402	20150212 14:14:45.917	20150212 15:14:45.421	20150212 16:14:45.647	20150212 17:14:45.456	20150212 18:14:46.99	20150212 19:14:45.789	20150212 20:14:45.990	20150212 21:14:46.129	20150212 22:14:46.238	20150212 23:14:46.615	20150213 00:14:46.771	20150213 01:14:46.817	20150213 02:14:46.742	20150213 03:14:46.746	20150213 04:14:46.993	20150213 05:14:46.876	20150213 06:14:46.885	20150213 07:14:46.941	20150213 08:14:46.987	20150213 09:14:47.97	20150213 10:14:45.248	20150213 11:14:45.124	20150213 12:14:45.182	20150213 13:14:42.633	20150213 14:14:45.618	20150213 15:14:44.784	20150213 16:46:52.98	20150213 17:46:59.09	20150213 18:47:02.339	20150213 19:47:02.161	20150213 20:47:02.386	20150213 21:47:02.337	20150213 22:47:02.352	20150213 23:47:02.250	20150214 00:47:02.495	20150214 01:47:02.84	20150214 02:47:04.306	20150214 03:47:02.219	20150214 04:47:02.225	20150214 05:47:02.434	20150214 06:47:02.435	20150214 07:47:02.717	20150214 08:47:02.602	20150214 09:47:02.466	20150214 10:47:02.617	20150214 11:47:04.601	20150214 12:47:02.878	20150214 13:47:02.904	20150214 14:47:03.555	20150214 15:47:00.256	20150214 16:49:04.951	20150214 17:49:04.701	20150214 18:49:02.166	20150214 19:49:04.876	20150214 20:49:04.698	20150214 21:49:05.377	20150214 22:49:05.57	20150214 23:49:04.976	20150215 00:49:05.284	20150215 01:49:05.199	20150215 02:49:05.359	20150215 03:49:05.629	20150215 04:49:05.366	20150215 05:49:05.303	20150215 06:49:05.649	20150215 07:49:05.360	20150215 08:49:06.150	20150215 09:49:05.597	20150215 10:49:05.993	20150215 11:49:06.231	20150215 12:49:05.852	20150215 13:49:05.658	20150215 14:49:06.27	20150215 15:49:07.510	20150215 16:49:06.583	20150215 17:49:05.880	20150215 18:49:06.146	20150215 19:49:06.267	20150215 20:49:06.481	20150215 21:49:06.313	20150215 22:49:06.111	20150215 23:49:06.442	20150216 00:49:06.560	20150216 01:49:07.68	20150216 02:49:06.691	20150216 03:49:06.845	20150216 04:49:07.70	20150216 05:49:09.169	20150216 06:49:08.751	20150216 07:49:07.340	20150216 08:49:07.44	20150216 09:49:06.997	20150216 10:49:07.578	20150216 11:49:07.526	20150216 12:49:07.624	20150216 13:49:07.540	20150216 14:54:38.120	20150216 15:54:44.712	20150216 16:59:06.887	20150216 17:59:13.216	20150216 18:59:13.150	20150216 19:55:52.871	20150216 20:55:58.940	20150216 21:55:59.278
1	20150213 05:14:46.876	892.0	1009.0	0.0	202.0	233.0	254.0	242.0	228.0	270.0	244.0	251.0	234.0	271.0	302.0	248.0	248.0	229.0	322.0	308.0	271.0	292.0	217.0	229.0	288.0	241.0	295.0	269.0	265.0	272.0	294.0	278.0	272.0	281.0	234.0	258.0	288.0	267.0	273.0	239.0	291.0	214.0	238.0	247.0	310.0	262.0	353.0	293.0	425.0	268.0	274.0	395.0	358.0	425.0	400.0	412.0	468.0	561.0	412.0	636.0	957.0	937.0	1761.0	3120.0	3540.0	3026.0	2640.0	2797.0	3294.0	2785.0	2916.0	2735.0	2675.0	2106.0	1996.0	1942.0	1859.0	1459.0	1684.0	1502.0	1269.0	2541.0	2337.0	2057.0	899.0	2132.0	1576.0	2083.0	1840.0	2109.0	1976.0	1700.0	1553.0	1619.0	1376.0	1754.0	1853.0	1303.0	1096.0	1064.0	876.0	1081.0	1045.0	1289.0	1516.0	1188.0	864.0	598.0	728.0	911.0	975.0	1027.0	1095.0	1122.0	954.0	960.0	724.0	858.0	708.0	642.0	698.0	745.0	682.0	641.0	874.0	956.0	1007.0	786.0	1050.0	893.0	736.0	742.0	1179.0	631.0	1042.0	1029.0	775.0	830.0	797.0	848.0	755.0	707.0	747.0	643.0	751.0	507.0	280.0	401.0	307.0	231.0	316.0	288.0
2	20150213 01:14:46.817	180.0	989.0	225.0	285.0	281.0	274.0	311.0	324.0	377.0	247.0	248.0	255.0	200.0	299.0	267.0	275.0	300.0	324.0	358.0	292.0	336.0	319.0	314.0	318.0	339.0	281.0	278.0	249.0	301.0	314.0	304.0	324.0	516.0	1003.0	1064.0	1110.0	931.0	903.0	933.0	931.0	1053.0	1196.0	1473.0	1044.0	1352.0	1311.0	1176.0	844.0	1110.0	1005.0	720.0	957.0	885.0	939.0	893.0	1080.0	1125.0	1628.0	2569.0	2498.0	3905.0	4281.0	4344.0	3088.0	2782.0	2821.0	2676.0	3011.0	2896.0	3334.0	2952.0	3507.0	3775.0	3637.0	3270.0	3316.0	2997.0	3167.0	2981.0	3113.0	2957.0	2658.0	2810.0	2552.0	2874.0	2174.0	2397.0	2247.0	2235.0	2506.0	1891.0	1913.0	2052.0	2299.0	1952.0	2429.0	1875.0	1902.0	1876.0	1808.0	1757.0	1586.0	1713.0	1690.0	1633.0	1592.0	1572.0	1483.0	1425.0	1314.0	1225.0	1298.0	1306.0	1259.0	1400.0	1432.0	1376.0	1354.0	1313.0	1344.0	1201.0	1230.0	1339.0	1354.0	1226.0	1216.0	1246.0	1185.0	1316.0	1142.0	1333.0	1218.0	1155.0	1372.0	1241.0	973.0	1065.0	921.0	1039.0	1000.0	932.0	954.0	1088.0	1216.0	750.0	340.0	340.0	297.0	241.0	251.0	323.0
3	20150212 23:14:46.615	842.0	981.0	240.0	295.0	224.0	242.0	283.0	278.0	271.0	291.0	260.0	261.0	230.0	312.0	341.0	313.0	368.0	429.0	479.0	552.0	568.0	549.0	624.0	694.0	632.0	588.0	640.0	701.0	630.0	704.0	624.0	717.0	637.0	737.0	712.0	653.0	729.0	679.0	833.0	744.0	724.0	751.0	760.0	702.0	1066.0	1124.0	1310.0	1097.0	1516.0	1629.0	1264.0	1705.0	1926.0	2400.0	2820.0	4221.0	7229.0	11276.0	8944.0	5792.0	8399.0	7294.0	6940.0	5213.0	4869.0	4689.0	5070.0	5170.0	4760.0	5375.0	5088.0	6076.0	6790.0	6610.0	6031.0	6151.0	5800.0	6093.0	6097.0	5710.0	4511.0	4457.0	4189.0	5908.0	4365.0	3665.0	4002.0	4046.0	3910.0	4974.0	3268.0	3664.0	3360.0	4782.0	3413.0	4437.0	4200.0	4078.0	4073.0	3925.0	3937.0	4051.0	3147.0	3179.0	3638.0	3432.0	3735.0	3424.0	3127.0	3108.0	2251.0	2163.0	2418.0	2250.0	3116.0	3178.0	3134.0	3106.0	3299.0	3334.0	3143.0	3072.0	3040.0	2951.0	2739.0	2834.0	2915.0	2657.0	2729.0	2818.0	2663.0	2267.0	2739.0	2115.0	2067.0	1658.0	1766.0	1704.0	1758.0	1751.0	1747.0	1860.0	2761.0	2458.0	602.0	376.0	382.0	275.0	336.0	307.0	380.0
4	20150213 14:14:45.618	132.0	962.0	217.0	293.0	205.0	228.0	236.0	236.0	264.0	238.0	221.0	242.0	268.0	313.0	320.0	355.0	330.0	295.0	361.0	294.0	292.0	261.0	300.0	263.0	311.0	305.0	337.0	320.0	414.0	473.0	512.0	486.0	507.0	665.0	573.0	563.0	620.0	672.0	669.0	684.0	747.0	808.0	959.0	563.0	894.0	894.0	885.0	727.0	1335.0	1748.0	844.0	1125.0	1210.0	1253.0	1569.0	1349.0	1281.0	1500.0	2272.0	1131.0	1754.0	1715.0	1639.0	1106.0	1119.0	1159.0	1094.0	1250.0	1411.0	1733.0	2056.0	4496.0	4483.0	3847.0	3728.0	3586.0	3064.0	3408.0	3380.0	3229.0	2688.0	3012.0	3123.0	2908.0	2783.0	2239.0	2509.0	2203.0	2532.0	3174.0	1831.0	2036.0	1809.0	2685.0	1764.0	2706.0	2447.0	2349.0	2122.0	1938.0	1909.0	2099.0	1632.0	1593.0	2106.0	1882.0	1446.0	1650.0	1873.0	1703.0	1115.0	1203.0	1221.0	1273.0	1660.0	1544.0	1425.0	1362.0	1447.0	1373.0	1376.0	1328.0	1376.0	1541.0	1543.0	1654.0	1451.0	1552.0	1445.0	1392.0	1249.0	1122.0	1353.0	1288.0	966.0	845.0	840.0	804.0	885.0	769.0	875.0	885.0	1270.0	940.0	714.0	305.0	366.0	268.0	239.0	269.0	258.0
5	20150213 04:14:46.993	832.0	942.0	217.0	195.0	230.0	242.0	265.0	232.0	260.0	241.0	232.0	268.0	282.0	337.0	298.0	370.0	297.0	364.0	357.0	316.0	397.0	328.0	340.0	383.0	412.0	366.0	396.0	464.0	372.0	376.0	379.0	367.0	384.0	438.0	391.0	433.0	568.0	824.0	1378.0	2709.0	1907.0	1758.0	1439.0	1396.0	1468.0	1262.0	1233.0	1081.0	1380.0	1735.0	2033.0	2313.0	1910.0	2102.0	2093.0	1841.0	1927.0	2000.0	2206.0	2122.0	2624.0	3491.0	3955.0	3689.0	3122.0	2973.0	3107.0	3542.0	3456.0	6260.0	5820.0	6370.0	5490.0	4976.0	5005.0	4944.0	4036.0	4655.0	4148.0	3540.0	4658.0	4658.0	4209.0	2962.0	4162.0	3376.0	4079.0	3743.0	4064.0	3758.0	3133.0	3609.0	3235.0	3172.0	3240.0	3805.0	2767.0	2615.0	2698.0	2163.0	2303.0	2460.0	2976.0	3004.0	2391.0	2125.0	1688.0	1779.0	2059.0	2156.0	2142.0	2143.0	2108.0	2400.0	2133.0	1692.0	1619.0	1544.0	1582.0	1482.0	1665.0	1616.0	1479.0	1731.0	1871.0	2075.0	1654.0	1964.0	1652.0	1573.0	1686.0	2209.0	1417.0	2126.0	2119.0	1460.0	1562.0	1597.0	1540.0	1446.0	1459.0	1555.0	1445.0	1200.0	771.0	353.0	367.0	294.0	282.0	276.0	352.0
6	20150213 09:14:47.97	667.0	944.0	277.0	230.0	226.0	219.0	264.0	288.0	317.0	274.0	236.0	276.0	314.0	331.0	365.0	348.0	344.0	407.0	414.0	402.0	386.0	371.0	526.0	379.0	378.0	377.0	488.0	432.0	932.0	1675.0	1422.0	1403.0	1386.0	1270.0	1191.0	1095.0	1020.0	969.0	949.0	1127.0	907.0	941.0	916.0	816.0	935.0	3356.0	2942.0	1782.0	2674.0	2503.0	1433.0	2272.0	2226.0	2042.0	1931.0	1841.0	1944.0	1780.0	1743.0	1095.0	1686.0	1586.0	1638.0	1777.0	1996.0	3269.0	9202.0	8420.0	7388.0	7529.0	7443.0	7363.0	7312.0	7204.0	6596.0	6670.0	6343.0	6532.0	6450.0	6524.0	6040.0	5811.0	5392.0	5814.0	5049.0	4728.0	4930.0	4936.0	5427.0	5182.0	4106.0	4216.0	4324.0	4812.0	4025.0	4327.0	4460.0	4191.0	4209.0	4035.0	3843.0	3807.0	3545.0	3444.0	3490.0	3614.0	3134.0	3316.0	3036.0	3036.0	2821.0	2849.0	3042.0	2797.0	2747.0	2733.0	2799.0	2722.0	2809.0	2946.0	2788.0	2842.0	2701.0	2834.0	2668.0	2550.0	2661.0	2762.0	2453.0	2146.0	2348.0	2544.0	2490.0	2515.0	2292.0	2160.0	2084.0	2066.0	2025.0	1929.0	2007.0	2022.0	2286.0	2273.0	650.0	345.0	298.0	311.0	294.0	348.0	421.0
7	20150213 15:14:44.784	1354.0	890.0	281.0	265.0	259.0	219.0	253.0	232.0	277.0	227.0	265.0	255.0	220.0	250.0	270.0	214.0	219.0	259.0	284.0	236.0	303.0	248.0	236.0	296.0	264.0	263.0	256.0	257.0	215.0	249.0	253.0	264.0	241.0	271.0	801.0	266.0	277.0	308.0	295.0	330.0	338.0	302.0	318.0	278.0	314.0	323.0	281.0	307.0	343.0	352.0	437.0	574.0	706.0	799.0	789.0	794.0	801.0	742.0	896.0	493.0	923.0	1000.0	965.0	995.0	1057.0	1099.0	1139.0	1297.0	1320.0	2087.0	1686.0	2193.0	2527.0	2736.0	4238.0	4299.0	4063.0	3402.0	3546.0	3666.0	3384.0	3346.0	3162.0	3765.0	3043.0	2902.0	3263.0	3097.0	3530.0	2770.0	2948.0	3035.0	2853.0	2851.0	2936.0	2488.0	2531.0	2552.0	2341.0	2461.0	2208.0	2191.0	2180.0	2304.0	2072.0	2092.0	2335.0	2384.0	1740.0	1655.0	1954.0	2003.0	2153.0	1840.0	1600.0	1853.0	2003.0	1886.0	1985.0	2329.0	1956.0	1961.0	1811.0	1623.0	1655.0	1416.0	1675.0	1569.0	1485.0	1476.0	1485.0	1497.0	1750.0	1623.0	1748.0	1706.0	1545.0	1526.0	1419.0	1500.0	1549.0	1528.0	1482.0	1492.0	535.0	352.0	363.0	272.0	303.0	328.0	378.0
8	20150213 03:14:46.746	237.0	891.0	276.0	219.0	245.0	226.0	238.0	247.0	243.0	235.0	238.0	254.0	240.0	271.0	301.0	313.0	316.0	295.0	338.0	370.0	315.0	314.0	411.0	303.0	318.0	300.0	356.0	320.0	340.0	332.0	365.0	324.0	346.0	386.0	344.0	317.0	401.0	338.0	374.0	510.0	387.0	392.0	354.0	379.0	491.0	431.0	508.0	480.0	638.0	710.0	664.0	957.0	1014.0	1123.0	1569.0	1800.0	1751.0	1759.0	1779.0	1502.0	2815.0	3492.0	4124.0	2968.0	3158.0	3267.0	3942.0	3638.0	3521.0	3497.0	3356.0	3888.0	4136.0	3964.0	3577.0	3717.0	3433.0	3601.0	3208.0	3365.0	2477.0	2419.0	2248.0	2589.0	2323.0	2031.0	2201.0	2098.0	2158.0	2836.0	1841.0	1862.0	1688.0	2558.0	1714.0	2111.0	2310.0	2146.0	2236.0	2076.0	1959.0	2133.0	1331.0	1615.0	2043.0	1915.0	1507.0	1743.0	1762.0	1862.0	1269.0	1265.0	1253.0	1204.0	1713.0	1566.0	1791.0	1578.0	1568.0	1382.0	1483.0	1623.0	1458.0	1479.0	1495.0	1420.0	1502.0	1581.0	1464.0	1433.0	1386.0	1120.0	1310.0	1120.0	1110.0	901.0	896.0	864.0	880.0	893.0	940.0	873.0	1475.0	1370.0	834.0	347.0	336.0	266.0	313.0	285.0	364.0
9	20150212 17:14:45.456	277.0	881.0	254.0	231.0	254.0	253.0	316.0	332.0	336.0	311.0	345.0	311.0	353.0	305.0	306.0	353.0	304.0	322.0	312.0	292.0	369.0	291.0	253.0	307.0	319.0	308.0	292.0	272.0	310.0	370.0	384.0	386.0	1089.0	1488.0	1555.0	1643.0	1581.0	1599.0	1427.0	1465.0	1442.0	1418.0	1456.0	914.0	1276.0	1260.0	1389.0	839.0	1234.0	1326.0	6059.0	6312.0	5871.0	5372.0	4763.0	4623.0	4398.0	4298.0	3857.0	3038.0	3600.0	3381.0	3348.0	2566.0	2766.0	2707.0	2711.0	2590.0	2513.0	2421.0	2296.0	2558.0	2778.0	2674.0	2211.0	2531.0	2492.0	2421.0	2269.0	2548.0	1701.0	1723.0	1486.0	2305.0	1796.0	1674.0	1737.0	1660.0	1990.0	1846.0	1823.0	1621.0	1781.0	1857.0	1574.0	1723.0	1780.0	1675.0	1655.0	1682.0	1864.0	1781.0	1297.0	1266.0	1778.0	1483.0	1541.0	1490.0	1543.0	1519.0	1155.0	1241.0	1223.0	1158.0	1224.0	1330.0	1335.0	1367.0	1246.0	1367.0	1343.0	1357.0	1221.0	1260.0	1216.0	1214.0	1363.0	1259.0	1276.0	1046.0	1236.0	894.0	1190.0	990.0	938.0	983.0	1018.0	938.0	927.0	902.0	956.0	878.0	967.0	1071.0	709.0	344.0	323.0	257.0	272.0	299.0	291.0
10	20150213 03:14:46.746	354.0	861.0	231.0	202.0	215.0	259.0	257.0	228.0	255.0	252.0	245.0	255.0	211.0	416.0	416.0	390.0	382.0	406.0	365.0	369.0	263.0	279.0	308.0	305.0	262.0	321.0	292.0	342.0	298.0	322.0	311.0	358.0	282.0	312.0	326.0	294.0	317.0	285.0	402.0	350.0	314.0	261.0	353.0	529.0	564.0	456.0	378.0	481.0	447.0	464.0	552.0	649.0	730.0	774.0	872.0	956.0	1144.0	1471.0	1998.0	2592.0	8877.0	7442.0	7431.0	5704.0	5939.0	5461.0	5439.0	5278.0	4939.0	5129.0	4799.0	5691.0	5895.0	5511.0	5025.0	5261.0	5201.0	5148.0	5111.0	4902.0	3979.0	3962.0	3832.0	4707.0	3661.0	3304.0	3699.0	3713.0	3950.0	4355.0	3433.0	3293.0	3415.0	3986.0	3050.0	3920.0	3474.0	3795.0	3636.0	3407.0	3343.0	3258.0	2554.0	2612.0	2973.0	3035.0	3125.0	3071.0	2837.0	2612.0	2036.0	2165.0	2132.0	2105.0	2528.0	2729.0	2676.0	2621.0	2837.0	2754.0	2639.0	2582.0	2696.0	2582.0	2429.0	2566.0	2513.0	2499.0	2410.0	2568.0	2392.0	1980.0	2609.0	1844.0	1706.0	1600.0	1668.0	1486.0	1576.0	1386.0	1562.0	1621.0	2192.0	1976.0	851.0	334.0	386.0	306.0	333.0	301.0	323.0
