,AIC,count_dates,count_tab_files,cv_lifespan,diff_AIC_GGM-GG,final_survivorship,fit_proportion_ggm_K-S,gg_beta_L95%,gg_beta_U95%,gg_beta_est,gg_beta_se,gg_params__beta,gg_params__cv,gg_params__mean,gg_params__rate,gg_params__s,gg_params__variance,gg_params_cv_L95%,gg_params_cv_U95%,gg_params_cv_est,gg_params_cv_se,gg_params_mean_L95%,gg_params_mean_U95%,gg_params_mean_est,gg_params_mean_se,gg_params_variance_L95%,gg_params_variance_U95%,gg_params_variance_est,gg_params_variance_se,gg_rate_L95%,gg_rate_U95%,gg_rate_est,gg_rate_se,gg_s_L95%,gg_s_U95%,gg_s_est,gg_s_se,ggm_beta_L95%,ggm_beta_U95%,ggm_beta_est,ggm_beta_se,ggm_initial_mortality_h_init_L95%,ggm_initial_mortality_h_init_U95%,ggm_initial_mortality_h_init_est,ggm_initial_mortality_h_init_se,ggm_initial_mortality_h_max_L95%,ggm_initial_mortality_h_max_U95%,ggm_initial_mortality_h_max_est,ggm_initial_mortality_h_max_se,ggm_lambda_L95%,ggm_lambda_U95%,ggm_lambda_est,ggm_lambda_se,ggm_rate_L95%,ggm_rate_U95%,ggm_rate_est,ggm_rate_se,ggm_s_L95%,ggm_s_U95%,ggm_s_est,ggm_s_se,lifespan_L95%,lifespan_U95%,lifespan_est,lifespan_var,likelihood_ration_pvalue,mean_lifespan,p-value_ggm_K-S,std_lifespan,suvrivorship
CR-TA_ssuE-1_,7513.4835262,1,5,0.156443404074,-0.611860261032,0.172555393792,0.952517985612,2.55857599093e-05,7.2698581165e+19,43128278.9297,619499910.56,,,,,,,,,,,,,,,,,,,0.0819953839018,0.0919814756805,0.086845013733,0.00254611780307,1.50379802254e-09,4.45178431248e+15,2587.38950409,37192.6605911,0.00011163763664,8.0876251274e+18,30048017.4929,403487280.556,1.17762214794e-05,0.000189201410058,4.72025180372e-05,3.34364908392e-05,2.48012399938e-08,4.66161939892e+12,340.020501547,4049.33312596,8.25756932945e-06,0.000202938546098,4.09362811454e-05,3.34365013537e-05,0.083249212262,0.0940498365816,0.0884848846346,0.002753604312,5.31683171825e-09,4.17906353812e+14,1490.61656948,20047.1332092,108.317704167,110.324110556,109.302698333,0.000235498927377,0.106067273648,102.889953761,8.52154260379e-05,16.0964546114,0.172555393792
CR-TA_mtlD-1_,2760.42990235,1,5,0.118736712559,2.00400399142,0.170932812421,1.0,209563.102968,16972465.8345,1885948.72818,2114188.69686,8133189.29786,0.1575876545784274,119.1477357681876,0.147732225208,0.44428784604,352.5461456323569,0.135448905272,0.178279199857,0.156864052564,0.0109262963306,115.179039005,120.211513756,117.69527638,1.28381816988,238.940559685,447.143046598,343.041803141,53.1138552942,0.109279108507,0.159637858602,0.132079835221,0.0127702868736,0.354056641868,0.87584776593,0.556865979202,0.128669002895,209515.536661,16985510.5182,1886459.21018,2115239.93894,3.62259109481e-09,4.17925133913e-07,3.89097914208e-08,4.71304776384e-08,0.0542842697193,0.0996763695696,0.0735585408389,0.011403549916,6.74601974234e-27,7.52761010373e+11,7.12610737867e-08,1.59263897617e-06,0.109276817717,0.159646620528,0.132082075433,0.0127730591618,0.354030292899,0.875886642298,0.556857616019,0.128683948306,114.379351389,118.083771111,116.631974167,0.000605292735011,1.0,112.213354938,0.607358908082,13.3238448705,0.170932812421
CR-TA_uxuR-1_,16545.6174554,1,14,0.19267465554,-9.98829666341,0.168638022717,1.0,4.57826486584e-05,1.95093435579e+15,298862.748041,3446033.92387,,,,,,,,,,,,,,,,,,,0.0630321782542,0.0694387231364,0.0661579471755,0.00163371479405,3.32493949993e-08,1.81380560852e+12,245.576747942,2847.09356718,,,40960180.2481,,,,,,,,,,,,0.000159259784843,,,,0.0698929508189,,,,22251.6301138,,101.245786111,102.334651111,102.228662778,0.000102678017578,0.000535357007824,92.1237333991,0.0627626511414,17.7499085997,0.168638022717
CR-TA_hslR-1_,5138.38577687,1,5,0.12351306053,-16.5860572281,0.105852221445,1.0,565.658450712,2.07343436108e+12,34246980.4267,192400249.625,,,,,,,,,,,,,,,,,,,0.0903025207779,0.104641631888,0.0972080404999,0.00365469537012,0.00155732336161,10837322.0115,129.912334849,751.095774827,,,106443371.505,,,,,,,,,,,,7.90847507372e-05,,,,0.102188622258,,,,208.596114103,,122.514211667,125.912160556,124.805851944,0.000343962229134,1.62404027859e-05,120.869607419,0.0634338533854,14.9289751373,0.105852221445
CR-TA_uxaA-1_,4201.53824629,1,2,0.182798486586,-87.5272980999,0.0994617736398,1.0,15523.5638601,67902.324625,32466.6917403,12222.5355745,,,,,,,,,,,,,,,,,,,0.0851788466581,0.109111180124,0.0964052098202,0.00608972993133,1.2615473053,4.35599453488,2.34420416504,0.741077528951,527462.381426,61054682.0184,5674861.05333,6878648.09233,0.000241010194318,0.000682908824469,0.000405694452127,0.000107792732754,0.0788106959908,0.127481157849,0.100234119819,0.0122973121192,0.000240896879686,0.000682689639734,0.000405533973923,0.000107765536123,0.140612820361,0.204008447871,0.169370018695,0.0160796994062,0.395958647376,0.877199238594,0.589351019336,0.119589994029,93.8579255556,97.8532522222,95.8583461111,0.000442600078234,3.0243643879e-21,93.9437982201,0.0248510795876,17.1727841387,0.0994617736398
CR-TA_ycfX-1_,9185.0146293,1,9,0.325482638956,-395.784933335,0.264569897729,1.0,0.000102667956066,6.04954463895e+15,788095.415044,9152282.01213,,,,,,,,,,,,,,,,,,,0.0361278553754,0.0414689139477,0.0387063680249,0.00136146128264,1.15833091106e-06,6.81589436397e+13,8885.41565054,103184.678266,7.4744533413e+23,2.46611796325e+32,1.35767756299e+28,6.79350699278e+28,0.0025213219469,0.00313279577704,0.00281047802834,0.000155685046226,0.0465213459499,0.0565363260897,0.0512849489105,0.00255084655721,0.00252138627446,0.00313259426393,0.00281042348776,0.000155617614264,0.554421919169,0.754025281063,0.646566426153,0.0507200951847,0.061262008024,0.091715661803,0.0749578922416,0.00771646935441,106.933484444,109.765364444,108.748715,0.000197709682353,1.67159139456e-88,93.9415990835,0.193608091157,30.5763595774,0.264569897729
CR-TA_lysC-1_,2791.45345397,1,6,0.349746658546,-62.4663796732,0.349291654789,1.0,1.67862058111e-11,1.62168845607e+21,164990.89728,3099874.7282,,,,,,,,,,,,,,,,,,,0.0263994528317,0.0354284757921,0.030582550181,0.00229508011247,3.8964226003e-13,3.76779451086e+19,3831.56882822,71989.0275302,5929.47633609,991099.567129,76659.6466858,100106.804579,0.00163043469174,0.00275534915379,0.00211953222391,0.000283707579442,0.0265290978346,0.0898025256295,0.0488096300766,0.0151831984856,0.00162798042471,0.0027561182582,0.00211823194493,0.000284498377637,0.0770138869171,0.143013749465,0.104947819076,0.0165712176418,0.182972694327,1.07546379297,0.443599490363,0.200434873267,110.249015278,113.260870278,112.250490833,0.00060803008538,9.81936461709e-16,94.9941991941,0.174008854572,33.2239037494,0.349291654789
CR-TA_ybdG-1_,6843.28021482,1,8,0.213557432108,-135.789103804,0.241994921023,1.0,1268.22143347,3216.1731572,2019.6088066,479.44782471,,,,,,,,,,,,,,,,,,,0.0536257127988,0.06830260166,0.0605208699544,0.00373505835708,0.767532737005,2.28654102587,1.32476227749,0.368917369852,1509069.5043,12737208659.8,138641022.639,319756975.33,0.000395444603125,0.000731532784902,0.000537848205165,8.44013675032e-05,0.0271925059247,0.0352308327585,0.0309518113932,0.00204491172766,0.000395392340646,0.000731526560993,0.000537810374756,8.44123973037e-05,0.15006759869,0.253483422655,0.195037556756,0.0260824027765,0.108918109278,0.223111789615,0.155887505216,0.0285166688455,115.3614375,120.400375278,119.26119,0.000261737397418,8.1042393708e-32,109.056167638,0.0500481256321,23.2897551164,0.241994921023
CR-TA_melA-1_,5846.00311009,1,3,0.229617730769,-106.643275848,0.0263843124397,0.986301369863,3.89514822836e-07,3.25136447722e+23,355872822.553,6254842682.77,,,,,,,,,,,,,,,,,,,0.0665246724239,0.0758052589274,0.0710135199674,0.00236585846492,4.18027308129e-11,3.4610058267e+19,38036.7578686,668457.219458,0.377014130058,1.51468330511e+20,7556831403.38,91459352386.6,0.00060408029423,0.00115088972479,0.00083380441566,0.000137108780385,1.57385731512e-06,4.28175177183e+12,2595.93265468,28110.3377954,0.000603791292451,0.00115099110192,0.000833641652647,0.000137202516177,0.0928976336385,0.111161613164,0.101620129966,0.00465301573632,6.31983169772e-07,2.41396417546e+14,12351.4563162,149328.903663,126.780357778,127.065633056,127.065633056,0.000346875310532,1.94286070171e-25,115.474482431,2.14167431741e-08,26.5149886176,0.0263843124397
CR-TA_mhpB-1_,7995.89438802,1,8,0.168778493064,-65.1363423391,0.309605095361,0.998632010944,6200.89329012,23555.9416268,12085.8545571,4115.07701388,,,,,,,,,,,,,,,,,,,0.0800848208529,0.098062205614,0.0886188138548,0.0045783240923,0.522529463551,0.940566908301,0.701052010929,0.105124218526,124856.299387,2198083.73025,523874.603604,383314.565307,0.0001919066022,0.000435786701795,0.000289189116713,6.05053842703e-05,0.0390225545205,0.0527691246064,0.0453782551665,0.00349357004115,0.000191691275128,0.000435765798539,0.000289019898241,6.05492185049e-05,0.118400447589,0.15316302822,0.134664661643,0.00884372808613,0.260941922237,0.429539114116,0.334790624292,0.0425682950093,108.282575556,111.801804444,109.48238,0.000205715260254,2.5336447455e-16,105.124154462,0.0130692990786,17.7426963748,0.309605095361
