index	mortality	x	y	20141007 20:43:36.556	20141007 21:52:27.517	20141007 23:01:25.914	20141008 00:10:27.264	20141008 01:19:27.915	20141008 02:28:33.256	20141008 03:37:36.676	20141008 04:46:16.481	20141008 05:55:10.702	20141008 07:04:11.176	20141008 08:13:07.79	20141008 09:21:39.995	20141008 10:30:26.185	20141008 11:39:04.969	20141008 12:48:03.844	20141008 13:56:48.270	20141008 15:06:38.850	20141008 16:13:19.65	20141008 17:21:57.974	20141008 18:30:52.237	20141008 19:39:47.783	20141008 20:48:29.497	20141008 21:57:06.787	20141008 23:05:46.762	20141009 00:14:50.179	20141009 01:23:35.135	20141009 02:32:16.676	20141009 03:40:56.561	20141009 04:49:37.132	20141009 05:58:17.397	20141009 07:07:03.969	20141009 08:15:52.150	20141009 09:24:56.143	20141009 10:33:44.225	20141009 11:42:19.974	20141009 12:51:02.709	20141009 14:00:15.498	20141009 15:09:01.974	20141009 16:18:01.885	20141009 17:27:09.28	20141009 18:36:01.762	20141009 19:44:42.148	20141009 20:53:31.590	20141009 22:02:21.688	20141009 23:10:59.276	20141010 00:19:47.606	20141010 01:28:34.147	20141010 02:37:18.549	20141010 03:45:59.658	20141010 04:54:46.739	20141010 06:03:53.831	20141010 07:12:40.797	20141010 08:21:29.44	20141010 09:30:20.717	20141010 10:39:17.840	20141010 11:48:09.496	20141010 12:56:49.205	20141010 22:02:19.263	20141010 23:10:55.703	20141011 00:19:44.301	20141011 01:28:28.90	20141011 02:37:06.792	20141011 03:45:53.37	20141011 04:54:31.91	20141011 06:03:23.746	20141011 07:12:01.43	20141011 08:21:00.372	20141011 09:29:44.715	20141011 10:38:29.324	20141011 11:47:07.857	20141011 12:55:50.135	20141011 14:04:55.267	20141011 15:13:38.674	20141011 16:22:50.457	20141011 17:31:29.285	20141011 18:40:15.03	20141011 19:49:11.894	20141011 20:58:07.31	20141011 22:06:51.847	20141011 23:15:53.819	20141012 00:24:47.375	20141012 01:33:31.151	20141012 02:42:09.924	20141012 03:50:59.923	20141012 04:59:47.327	20141012 06:08:41.418	20141012 07:17:36.30	20141012 08:27:08.155	20141012 09:35:56.992	20141012 10:44:55.202	20141012 11:53:45.57	20141012 13:02:28.507	20141012 14:11:03.425	20141012 15:19:51.759	20141012 16:28:41.563	20141012 17:37:31.397	20141012 18:46:18.481	20141012 19:55:11.445	20141012 21:03:54.210	20141012 22:13:00.936	20141012 23:21:43.474	20141013 00:31:00.103	20141013 01:39:42.979	20141013 02:48:34.573	20141013 03:57:15.758	20141013 05:06:04.267	20141013 06:15:11.634	20141013 07:24:05.145	20141013 08:33:06.27	20141013 10:11:59.610	20141013 11:20:53.956	20141013 12:29:14.160
1	20141011 19:49:11.894	1299.0	927.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	392.0	546.0	525.0	523.0	568.0	655.0	612.0	778.0	810.0	891.0	778.0	787.0	840.0	718.0	711.0	624.0	677.0	652.0	606.0	697.0	354.0	618.0	658.0	532.0	595.0	454.0	539.0	623.0	499.0	498.0	469.0	532.0	506.0	556.0	269.0	233.0	193.0
2	20141011 18:40:15.03	1005.0	926.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1086.0	988.0	998.0	1130.0	905.0	978.0	997.0	916.0	943.0	1024.0	940.0	1011.0	1002.0	1053.0	852.0	934.0	923.0	922.0	992.0	924.0	485.0	953.0	1006.0	821.0	894.0	858.0	804.0	833.0	842.0	765.0	768.0	790.0	791.0	870.0	272.0	293.0	234.0
3	20141011 19:49:11.894	711.0	926.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	791.0	913.0	958.0	950.0	1261.0	1451.0	1484.0	1583.0	1312.0	1250.0	1309.0	1138.0	1055.0	1096.0	1135.0	1060.0	1110.0	1079.0	992.0	1134.0	553.0	1115.0	960.0	859.0	962.0	775.0	892.0	867.0	938.0	826.0	772.0	782.0	836.0	881.0	257.0	217.0	260.0
4	20141011 18:40:15.03	416.0	924.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	441.0	458.0	424.0	403.0	429.0	554.0	534.0	491.0	452.0	469.0	457.0	475.0	433.0	453.0	414.0	479.0	483.0	491.0	582.0	443.0	279.0	490.0	639.0	502.0	602.0	562.0	573.0	578.0	750.0	758.0	692.0	653.0	623.0	711.0	246.0	241.0	155.0
5	20141011 18:40:15.03	1172.0	921.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	700.0	621.0	694.0	694.0	572.0	657.0	695.0	682.0	604.0	634.0	586.0	587.0	596.0	672.0	511.0	500.0	586.0	581.0	661.0	602.0	303.0	577.0	662.0	454.0	503.0	510.0	534.0	411.0	515.0	468.0	550.0	458.0	522.0	454.0	178.0	217.0	176.0
6	20141012 00:24:47.375	290.0	920.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	293.0	301.0	346.0	320.0	435.0	489.0	447.0	588.0	813.0	911.0	843.0	767.0	815.0	744.0	781.0	724.0	871.0	794.0	743.0	801.0	513.0	670.0	706.0	608.0	641.0	650.0	616.0	685.0	665.0	624.0	636.0	603.0	651.0	613.0	273.0	154.0	206.0
7	20141013 03:57:15.758	73.0	896.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	181.0	182.0	173.0	198.0	218.0	140.0	173.0	205.0	260.0	268.0	228.0	219.0	218.0	204.0	214.0	264.0	243.0	268.0	303.0	289.0	317.0	415.0	209.0	403.0	387.0	350.0	511.0	441.0	430.0	436.0	546.0	691.0	880.0	1085.0	1271.0	1150.0	279.0	202.0	199.0
8	20141012 11:53:45.57	406.0	886.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	244.0	208.0	237.0	322.0	313.0	227.0	228.0	279.0	242.0	269.0	310.0	320.0	397.0	299.0	314.0	425.0	486.0	479.0	598.0	737.0	1021.0	1163.0	997.0	508.0	1194.0	1100.0	859.0	856.0	791.0	797.0	702.0	801.0	549.0	856.0	717.0	628.0	704.0	393.0	194.0	240.0
9	20141012 09:35:56.992	151.0	874.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	171.0	228.0	203.0	214.0	184.0	219.0	283.0	222.0	243.0	354.0	336.0	360.0	388.0	482.0	439.0	576.0	884.0	812.0	574.0	680.0	678.0	759.0	910.0	478.0	1475.0	1467.0	1096.0	1147.0	1091.0	887.0	880.0	964.0	719.0	760.0	798.0	761.0	847.0	402.0	288.0	324.0
10	20141011 18:40:15.03	447.0	875.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.0	150.0	185.0	299.0	205.0	242.0	224.0	217.0	186.0	182.0	268.0	296.0	258.0	322.0	276.0	266.0	331.0	520.0	441.0	460.0	503.0	459.0	455.0	300.0	419.0	404.0	340.0	412.0	308.0	353.0	328.0	424.0	384.0	346.0	344.0	342.0	330.0	388.0	226.0	194.0
