index	mortality	x	y	20171105 12:56:34.508	20171109 12:19:48.973	20171109 13:20:08.315	20171109 14:20:16.144	20171109 15:19:09.404	20171109 16:21:17.916	20171109 17:20:03.477	20171109 18:20:08.647	20171109 19:19:58.968	20171109 20:19:52.732	20171109 21:20:00.944	20171109 22:20:02.532	20171109 23:20:22.442	20171110 00:20:41.556	20171110 01:20:40.423	20171110 02:20:39.818	20171110 03:20:21.859	20171110 04:20:28.33	20171110 05:20:34.91	20171110 06:20:19.869	20171110 07:20:43.645	20171110 08:20:29.594	20171110 09:33:21.914	20171110 10:33:03.549	20171110 11:33:19.491	20171110 12:33:29.963	20171110 13:32:55.351	20171110 14:32:51.723	20171110 15:33:30.720	20171110 16:34:08.951	20171110 17:33:35.508	20171110 18:33:08.436	20171110 19:33:25.963	20171110 20:32:57.130	20171110 21:32:52.869	20171110 22:32:33.439	20171110 23:32:16.668	20171111 00:32:30.06	20171111 01:33:05.463
1	20171110 10:33:03.549	416.0	816.0	352.0	382.0	411.0	435.0	356.0	395.0	321.0	336.0	411.0	274.0	340.0	373.0	349.0	355.0	354.0	408.0	444.0	354.0	323.0	351.0	382.0	354.0	403.0	2885.0	1556.0	3281.0	4412.0	2662.0	2133.0	1906.0	1392.0	1671.0	958.0	1433.0	1178.0	1422.0	841.0	1437.0	918.0
2	20171110 10:33:03.549	411.0	817.0	348.0	384.0	340.0	308.0	346.0	339.0	395.0	324.0	339.0	378.0	324.0	346.0	289.0	268.0	270.0	355.0	368.0	276.0	313.0	418.0	352.0	353.0	389.0	2690.0	1484.0	3398.0	3017.0	1902.0	1564.0	1362.0	948.0	1392.0	840.0	909.0	822.0	863.0	694.0	865.0	628.0
3	20171110 12:33:29.963	415.0	812.0	327.0	450.0	343.0	434.0	354.0	360.0	290.0	409.0	328.0	277.0	302.0	346.0	275.0	392.0	346.0	362.0	382.0	369.0	383.0	329.0	399.0	479.0	371.0	1511.0	1176.0	2208.0	3550.0	1897.0	1553.0	1718.0	1190.0	1438.0	869.0	1395.0	890.0	1132.0	687.0	1040.0	764.0
4	20171110 10:33:03.549	410.0	811.0	407.0	297.0	414.0	398.0	339.0	310.0	423.0	324.0	428.0	314.0	337.0	337.0	302.0	407.0	320.0	364.0	471.0	408.0	315.0	371.0	332.0	339.0	295.0	1360.0	1063.0	1761.0	1590.0	1618.0	1413.0	1131.0	969.0	940.0	855.0	743.0	642.0	547.0	791.0	545.0	668.0
5	20171110 12:33:29.963	89.0	793.0	410.0	314.0	347.0	334.0	352.0	315.0	336.0	324.0	538.0	283.0	345.0	284.0	316.0	327.0	360.0	434.0	368.0	325.0	287.0	373.0	367.0	314.0	402.0	492.0	337.0	1780.0	1428.0	1636.0	1137.0	1387.0	1287.0	1207.0	953.0	989.0	884.0	804.0	784.0	859.0	754.0
6	20171110 12:33:29.963	83.0	790.0	345.0	320.0	371.0	348.0	300.0	331.0	326.0	321.0	328.0	271.0	334.0	359.0	373.0	286.0	273.0	253.0	347.0	284.0	346.0	308.0	281.0	349.0	272.0	424.0	1324.0	2136.0	2825.0	2465.0	2168.0	1875.0	1683.0	1648.0	1252.0	1097.0	1066.0	1125.0	1081.0	1080.0	895.0
7	20171110 12:33:29.963	89.0	790.0	410.0	371.0	391.0	380.0	362.0	315.0	349.0	322.0	538.0	287.0	325.0	334.0	292.0	432.0	437.0	434.0	368.0	338.0	295.0	327.0	292.0	285.0	406.0	492.0	389.0	1801.0	1428.0	1636.0	1137.0	1387.0	1287.0	1207.0	991.0	981.0	884.0	869.0	735.0	859.0	754.0
8	20171111 00:32:30.06	771.0	669.0	163.0	227.0	163.0	254.0	201.0	230.0	316.0	225.0	223.0	199.0	243.0	225.0	349.0	289.0	215.0	210.0	281.0	262.0	297.0	265.0	186.0	278.0	347.0	181.0	165.0	207.0	222.0	240.0	162.0	264.0	379.0	179.0	203.0	232.0	289.0	264.0	197.0	1363.0	879.0
9	20171110 17:33:35.508	21.0	643.0	505.0	314.0	302.0	328.0	302.0	284.0	371.0	316.0	341.0	288.0	377.0	246.0	318.0	296.0	352.0	323.0	395.0	380.0	332.0	381.0	289.0	344.0	377.0	373.0	520.0	618.0	421.0	553.0	674.0	828.0	2505.0	3254.0	2383.0	1702.0	2124.0	1640.0	1701.0	1656.0	1265.0
10	20171110 17:33:35.508	16.0	643.0	373.0	297.0	292.0	358.0	296.0	285.0	363.0	317.0	246.0	269.0	270.0	226.0	244.0	393.0	383.0	414.0	438.0	364.0	333.0	308.0	325.0	396.0	396.0	423.0	520.0	359.0	658.0	570.0	800.0	895.0	2576.0	3568.0	2570.0	2368.0	2251.0	2157.0	1435.0	1773.0	1674.0
